Date,D-mart Open,D-mart High, D-mart Low,D-mart Close,D-mart Adj Close,D-mart Volume,Reliance Open,Reliance High,Reliance Low,Reliance Close,Reliance Adj Close,Reliance Volume,,Drop down for visibility,,,,,,,,,,,,Date,D-mart Adj Close,Reliance Adj Close
20-01-2022,4517,4517,4462.350098,4483.549805,4483.549805,350124,2500.050049,2509.949951,2455,2477.449951,2470.013428,7612203,,,,,,,,,,,,,,20-01-2022,4483.549805,2470.013428
21-01-2022,4410,4435.450195,4281,4299.799805,4299.799805,606584,2452,2502.25,2452,2477.850098,2470.412354,6155759,,,,,,,,,,,,,,21-01-2022,4299.799805,2470.412354
24-01-2022,4300,4316.899902,3978,4035.300049,4035.300049,1126974,2475,2504.75,2355.100098,2377.899902,2370.762207,10092511,,,,,,,,,,,,,,24-01-2022,4035.300049,2370.762207
25-01-2022,4025,4120,3881.25,4095.449951,4095.449951,810518,2349.550049,2388.649902,2305,2373.25,2366.126221,11311456,,,,,,,,,,,,,,25-01-2022,4095.449951,2366.126221
27-01-2022,4040,4144.100098,3994.949951,4063.300049,4063.300049,675652,2336,2356.100098,2311.050049,2338.100098,2331.081787,9239426,,,,,,,,,,,,,,27-01-2022,4063.300049,2331.081787
28-01-2022,4130,4150.899902,4046,4076,4076,582484,2365,2375.899902,2328.399902,2335.850098,2328.838623,6769154,,,,,,,,,,,,,,28-01-2022,4076,2328.838623
31-01-2022,4140,4171,4092,4114.350098,4114.350098,478099,2360.199951,2406.399902,2356.199951,2386.600098,2379.436279,5604308,,,,,,,,,,,,,,31-01-2022,4114.350098,2379.436279
01-02-2022,4133.200195,4278,4092,4225.600098,4225.600098,321735,2408,2420.600098,2347.100098,2378.699951,2371.559814,6092033,,,,,,,,,,,,,,01-02-2022,4225.600098,2371.559814
02-02-2022,4274.299805,4275,4211,4236.649902,4236.649902,249200,2407,2407,2375.100098,2383.550049,2376.395264,4623163,,,,,,,,,,,,,,02-02-2022,4236.649902,2376.395264
03-02-2022,4231.049805,4235,4122.350098,4140,4140,337719,2392,2401.449951,2347.199951,2352.75,2345.687744,4417864,,,,,,,,,,,,,,03-02-2022,4140,2345.687744
